t,target_follower_l_joint1,target_follower_l_joint2,target_follower_l_joint3,target_follower_l_joint4,target_follower_l_joint5,target_follower_l_joint6,target_follower_l_joint7,target_grip,current_follower_l_joint1,current_follower_l_joint2,current_follower_l_joint3,current_follower_l_joint4,current_follower_l_joint5,current_follower_l_joint6,current_follower_l_joint7,current_grip
1777067789.6011646,-0.0004076659679412842,0.7060512900352478,-0.010348737239837646,-0.3434913158416748,0.16393119096755981,2.0372159481048584,0.06119708716869354,0.049734294414520264,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.6037629,-0.000322878360748291,0.7060512900352478,0.025408029556274414,-0.31725212931632996,0.14696788787841797,1.9966309070587158,0.01711001992225647,0.04903655052185059,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.636749,0.0063672661781311035,0.7060512900352478,-0.015263617038726807,-0.2851704955101013,0.15405255556106567,2.0063767433166504,0.022467896342277527,0.04917497038841248,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.6697598,0.002646118402481079,0.7060512900352478,-0.007574737071990967,-0.3077651858329773,0.15941452980041504,1.984696388244629,0.0478789359331131,0.049218598008155826,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.7029724,-0.0004463493824005127,0.7060512900352478,0.002732574939727783,-0.28863778710365295,0.16784918308258057,1.99721097946167,0.052970439195632935,0.049966570734977726,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.7367191,0.0007298290729522705,0.7060512900352478,0.005167722702026367,-0.2738860845565796,0.1602480411529541,1.983086347579956,0.05473479628562927,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.7697542,-0.0023254454135894775,0.7060512900352478,-0.009214937686920166,-0.2763582170009613,0.16182374954223633,1.980979323387146,0.057062551379203796,0.04996152818202973,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.8030946,-0.00709959864616394,0.7060512900352478,-0.005634486675262451,-0.26691144704818726,0.1563507318496704,1.96707284450531,0.06340615451335907,0.05,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.836807,-0.008999913930892944,0.7060512900352478,-0.012164890766143799,-0.25930923223495483,0.15583741664886475,1.9712837934494019,0.06060902774333954,0.05,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.8697531,-0.012275934219360352,0.7060512900352478,-0.0038323402404785156,-0.26089227199554443,0.15696096420288086,1.956168532371521,0.061880216002464294,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.9029615,-0.015040040016174316,0.7060512900352478,-0.009248197078704834,-0.25111356377601624,0.1483219861984253,1.9531712532043457,0.06157498061656952,0.04971173703670502,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.9368262,-0.017915576696395874,0.7060512900352478,-0.00929349660873413,-0.24836251139640808,0.14641296863555908,1.940571665763855,0.07725341618061066,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067789.9697626,-0.021135032176971436,0.7060512900352478,-0.005977749824523926,-0.24769824743270874,0.14071202278137207,1.9509391784667969,0.06945721805095673,0.05,-0.0207904173342488,-0.1619363698786902,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067790.0030591,-0.025270700454711914,0.7060512900352478,0.0004916191101074219,-0.24547699093818665,0.14477258920669556,1.9442930221557617,0.0734463781118393,0.04998796880245209,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067790.0367267,-0.02254590392112732,0.7060512900352478,0.0006101727485656738,-0.2463374137878418,0.13867467641830444,1.9279533624649048,0.07734234631061554,0.04980609714984894,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067790.0699537,-0.0271187424659729,0.7060512900352478,0.001037895679473877,-0.2465636134147644,0.1372489333152771,1.9164915084838867,0.0867772251367569,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067790.103021,-0.027358174324035645,0.7060512900352478,0.003414154052734375,-0.24685701727867126,0.14130377769470215,1.9193164110183716,0.08051992952823639,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
1777067790.1369808,-0.03204703330993652,0.7060512900352478,0.006782352924346924,-0.24645739793777466,0.1301904320716858,1.9191386699676514,0.08025719225406647,0.05,-0.0207904173342488,-0.1623178454261076,0.013923857480735435,1.59246967269398,-0.007438773174639479,-0.005149919890135024,-0.032997634851605895,0.044784668665929554
